restaurant_id,restaurant_name
729,Dilli Dhaba And Restaurant
730,Bangaliana
731,Rice Express By Shero
732,Amrit Sweets Phase 5
733,Dabba & Co.
734,Tiffinette
735,Kuppuswami
736,Frys
737,Lamee
738,Apna Vaishno Dhaba
739,NIC Ice Creams
740,Aryaas
741,K7 Hotel
742,Chinese Wok
743,Parivaar Vegetarian
744,Bawarchi Fast Food
745,Al-Baik
746,Central Perk
747,Tiffin aaw
748,Samoxa
749,"Ovenfresh Pizzas, Cakes & Desserts"
750,Punjab Grill
751,Rollarappaa
752,Cafe Sanaya
753,New Little Hut Family Restaurant
754,Red Chilliz
755,Haona Chao
756,South Indian Coffee House
757,N Chennai Express
758,Le Zara
759,Cheesecakes By CakeZone
760,The Airawat Kitchen
761,The Yellow Straw
762,Valley Vista
763,Urban Tadka
764,Bikanervala
765,Cake Town
766,Little Chef
767,Mughlai Restaurant
768,UK Pizza Hut
769,RAM KRISHNA BHOJNALAY
770,Vrindavan Restaurant
771,Pour Tous
772,Biryani Hub
773,Amritsari Restaurant Katora Talab
774,Bosco Food Hub
775,NH1 Bowls - Highway To North
776,Third Wave Coffee
777,Lilac Cafe
778,Desi Choka
779,The Hazelnut Factory
780,Hot Stuff Fast Food
781,Itminaan Matka Biryani - Slow Cooked
782,Harishankar Veg Restro
783,NDS Cafe
784,FIKA
785,Hotel Enchanto Imphal
786,Naobas Chakhumang Restaurant
787,House of Idlies
788,Chai Sutta Bar
789,Street Za
790,Nirmala Hotel & Restaurant
791,Infusion
792,Yadav Doodh Dairy
793,Chiyang
794,Churuwala
795,Caterspoint
796,Cochin Rahumania
797,Tea Post
798,Cafe 99
799,Polar Bear
800,Hotel Shagun
801,Sunny's Restaurant - Keishampat
802,A1
803,MOJO Pizza - 2X Toppings
804,Barbecue by Punjab Grill
805,M/S Girija Hotel
806,Alpha Pizza House
807,Zawlbuk
808,"WeFit - Protein Bowls, Salads & Sandwiches"
809,Brahmins' Thatte Idli
810,Appetite Classic
811,Tealogy Cafe
812,INDIAN COFFEE HOUSE
813,The Boston Cafe & Patisserie
814,Uncle Momos & Kitchen
815,Social
816,Harish Bakery
817,Roll Xpress
818,Zaika Family Fast Food
819,Oye Hoye Paratha
820,Karigari - By Chef Harpal Singh Sokhi
821,Crescent International Hotel
822,Oudh 1590
823,Radhey Lal Premium Sweets
824,Ovenfresh
825,Indrani Sweets And Restaurant
826,Urban Nawab
827,Kashmir Trout
828,Salem RR Biriyani Unavagam
829,Sagar Ratna
830,Taste With Me !
831,Appetizer
832,Shaan Sweets And Snacks
833,Ss Hyderabad Biryani
834,Cocoa Bakery
835,Shree Agarwal Caterers
836,Loyans Bakery & Confectionery
837,Snack-A-Boo
838,4 Seasons
839,"Bhatti Chicken - Grilled, NOT Fried!"
840,Popeyes
841,Sri Tiffins
842,Grits N Gravy
843,Cocoberry
844,ITC Sunfeast Baked Creations
845,Ratna Cafe (Estd.1948)
846,Zam Zam Biryani
847,Dreams Cafe
848,Wendo's Pizza
849,Veg Darbar by Behrouz Biryani
850,Royal Indraprastha
851,Shree Gangaur
852,Dweller Teas & Snacks
853,Eden Restaurant
854,Shri Ram Dhaba
855,Sandwich Junction
856,A2B - Adyar Ananda Bhavan
857,Salad Days
858,Khana Khazana
859,Sri Sindhu Bhavan
860,Saudagar
861,Olio - The Wood Fired Pizzeria
862,ITC Master Chef Creations
863,Wow! Chicken By Wow! Momo
864,Cake Studio
865,Momo Junction
866,The Oberoi Bakers
867,Spice Garden
868,Navtara Veg Restaurant
869,Books & Bricks Cafe
870,Truck Wala Dhaba
871,Dream Cafe Jaipur
872,SRIVARI BHIMMAS
873,The Chicken Wagon
874,Theth Masala
875,Krishna Restaurant
876,SMOOR
877,Cheapest Food Zone
878,Home Plate by EatFit
879,Suchali's Artisan Bakehouse
880,Lo! - Low Carb and Keto Foods
881,Priyas - Pure Veg
882,The Biryani moradabadi
883,Chick Blast (Rajbagh)
884,LeanCrust Pizza- ThinCrust Experts
885,IGP Cakes
886,Taste Tekker
887,Red Chilly's - Spirits N Spices
888,Meat Zone
