category_id,category
1095,Raitas And Salad
1096,Maggi & Poha
1097,Flasks
1098,Cones
1099,Mix Sweets
1100,Glass Desserts
1101,Top Selling Combos
1102,Combo Specails Malabar Plaza
1103,Fruit Shakes
1104,Croissants & More
1105,Non-veg Main Course
1106,Exotic Vadapav
1107,Fries & Sandwich
1108,Mini Combos
1109,SPECIAL SODA
1110,Puddings
1111,Manchurian
1112,Tandoori Non Veg
1113,"10"" LARGE PIZZAS | VEG"
1114,Exotic
1115,Beef Mandi
1116,Manchurian & Chilly
1117,Onam Range (Festive Special)
1118,Pastries
1119,Hot Coffee
1120,Gourmet Veg Pasta
1121,"Non-Veg Tandoor, Indian & Chinese Starters"
1122,Thin n Crispy Pizzas
1123,Roll Combos
1124,Flavoured Cold Coffee
1125,HOLA MEXICO
1126,Cakesicles
1127,Eclairs
1128,Momos And Spring Roll
1129,The Killing Snacks
1130,Dastan-e-Kebab (Starters)
1131,Dugna Combo
1132,Breakfast All Day
1133,Mysore Dosas
1134,Milk Products
1135,Vegetable
1136,Noodle Soup
1137,Chatori Gali
1138,Chicken In Gravy
1139,Tandoori & Barbeque
1140,Comboo Pack
1141,Soup noodles
1142,Japenese Matcha Green Latte
1143,Non-Veg Homely - EVERYDAY THALI
1144,Raita & Salad
1145,Rice (750 Ml)
1146,Frozen Coffee
1147,Luxe Candles
1148,Kathi Roll
1149,Special Dosa
